省份:天津 学院:软件学院 专业:软件工程 信息:文理科：理科，2016年最高分：627，最低分：627，平均分：627；2015年最高分：641，最低分：638，平均分：640；2014年最高分：617，最低分：614，平均分：616
省份:天津 学院:生命科学学院 专业:生物科学类 信息:文理科：理科，2016年最高分：653，最低分：652，平均分：653；2015年最高分：647，最低分：643，平均分：645；2014年最高分：630，最低分：628，平均分：629
省份:天津 学院:数据科学与计算机学院 专业:计算机类 信息:文理科：理科，2016年最高分：637，最低分：622，平均分：630；2015年最高分：644，最低分：642，平均分：643；2014年最高分：未知，最低分：未知，平均分：未知
省份:天津 学院:数学学院（珠海） 专业:数学类 信息:文理科：理科，2016年最高分：645，最低分：641，平均分：643；2015年最高分：未知，最低分：未知，平均分：未知；2014年最高分：未知，最低分：未知，平均分：未知
省份:天津 学院:物理学院（广州） 专业:光电信息科学与工程 信息:文理科：理科，2016年最高分：625，最低分：622，平均分：624；2015年最高分：643，最低分：641，平均分：642；2014年最高分：未知，最低分：未知，平均分：未知
省份:天津 学院:心理学系 专业:心理学类 信息:文理科：理科，2016年最高分：631，最低分：626，平均分：629；2015年最高分：643，最低分：643，平均分：643；2014年最高分：627，最低分：627，平均分：627
省份:天津 学院:药学院 专业:药学 信息:文理科：理科，2016年最高分：632，最低分：623，平均分：627；2015年最高分：648，最低分：640，平均分：644；2014年最高分：623，最低分：619，平均分：621
省份:天津 学院:医学院（深圳） 专业:临床医学 信息:文理科：理科，2016年最高分：647，最低分：627，平均分：636；2015年最高分：未知，最低分：未知，平均分：未知；2014年最高分：未知，最低分：未知，平均分：未知
省份:天津 学院:中山医学院 专业:临床医学（八年制） 信息:文理科：理科，2016年最高分：667，最低分：665，平均分：666；2015年最高分：668，最低分：667，平均分：668；2014年最高分：663，最低分：658，平均分：661
省份:上海 年份:2016 信息:理科（投档分）的最高分：498，最低分：481，平均分：485，重点线：360，均重差：125，录取人数：25；文科（投档分）的最高分：500，最低分：481，平均分：487，重点线：368，均重差：119，录取人数：14
省份:上海 年份:2015 信息:理科（投档分）的最高分：482，最低分：459，平均分：468，重点线：414，均重差：54，录取人数：24；文科（投档分）的最高分：484，最低分：465，平均分：472，重点线：434，均重差：38，录取人数：15
